"month","site","year","ppt"
"1","XX",1904,28
"1","YY",1904,24
"1","ZZ",1904,30
"1","TT",1904,26
"1","UU",1904,24
"1","VV",1904,25
"1","WW",1904,21
"1","PP",1904,21
"1","0N",1904,28
"1","05",1905,14
"1","06",1905,13
"1","07",1905,13
"1","08",1905,13
"1","09",1905,12
"1","10",1905,12
"1","0A",1905,13
"1","0B",1905,13
"1","0C",1905,15
"1","0D",1905,17
"1","0E",1905,18
"1","0F",1905,13
"1","0G",1905,14
"1","0H",1905,13
"1","0L",1905,29
"1","0Q",1905,20
"1","0R",1905,27
"1","0S",1905,29
"1","0T",1905,29
"1","0U",1905,27
"1","0V",1905,28
"1","0W",1905,19
"1","0X",1905,20
"1","0Y",1905,23
"1","0Z",1905,23
"1","BB",1905,21
"1","CC",1905,19
"1","DD",1905,23
"1","EE",1905,24
"1","FF",1905,22
"1","GG",1905,22
"1","HH",1905,22
"1","II",1905,21
"1","JJ",1905,22
"1","KK",1905,23
"1","MM",1905,21
"1","NN",1905,21
"1","QQ",1905,22
"1","RR",1905,26
"1","SS",1905,25
"1","AA",1905,15
"1","XX",1905,19
"1","YY",1905,22
"1","ZZ",1905,16
"1","TT",1905,25
"1","UU",1905,27
"1","VV",1905,27
"1","WW",1905,24
"1","PP",1905,22
"1","0N",1905,25
"1","05",1906,16
"1","06",1906,13
"1","07",1906,13
"1","08",1906,13
"1","09",1906,12
"1","10",1906,13
"1","0A",1906,13
"1","0B",1906,14
"1","0C",1906,16
"1","0D",1906,18
"1","0E",1906,19
"1","0F",1906,14
"1","0G",1906,16
"1","0H",1906,14
"1","0L",1906,27
"1","0Q",1906,17
"1","0R",1906,18
"1","0S",1906,26
"1","0T",1906,30
"1","0U",1906,17
"1","0V",1906,26
"1","0W",1906,17
"1","0X",1906,18
"1","0Y",1906,22
"1","0Z",1906,13
"1","BB",1906,16
"1","CC",1906,18
"1","DD",1906,11
"1","EE",1906,10
"1","FF",1906,14
"1","GG",1906,9
"1","HH",1906,9
"1","II",1906,8
"1","JJ",1906,9
"1","KK",1906,9
"1","MM",1906,18
"1","NN",1906,15
"1","QQ",1906,9
"1","RR",1906,11
"1","SS",1906,12
"1","AA",1906,16
"1","XX",1906,20
"1","YY",1906,17
"1","ZZ",1906,18
"1","TT",1906,13
"1","UU",1906,13
"1","VV",1906,13
"1","WW",1906,12
"1","PP",1906,9
"1","0N",1906,14
"1","05",1907,28
"1","06",1907,22
"1","07",1907,22
"1","08",1907,22
"1","09",1907,22
"1","10",1907,22
"1","0A",1907,23
"1","0B",1907,22
"1","0C",1907,28
"1","0D",1907,25
"1","0E",1907,30
"1","0F",1907,23
"1","0G",1907,23
"1","0H",1907,23
"1","0L",1907,40
"1","0Q",1907,36
"1","0R",1907,17
"1","0S",1907,25
"1","0T",1907,31
"1","0U",1907,17
"1","0V",1907,28
"1","0W",1907,36
"1","0X",1907,37
"1","0Y",1907,38
"1","0Z",1907,29
"1","BB",1907,21
"1","CC",1907,24
"1","DD",1907,13
"1","EE",1907,11
"1","FF",1907,17
"1","GG",1907,8
"1","HH",1907,8
"1","II",1907,8
"1","JJ",1907,8
"1","KK",1907,9
"1","MM",1907,34
"1","NN",1907,31
"1","QQ",1907,8
"1","RR",1907,10
"1","SS",1907,11
"1","AA",1907,22
"1","XX",1907,22
"1","YY",1907,17
"1","ZZ",1907,22
"1","TT",1907,28
"1","UU",1907,28
"1","VV",1907,29
"1","WW",1907,24
"1","PP",1907,8
"1","0N",1907,30
"1","05",1908,11
"1","06",1908,9
"1","07",1908,9
"1","08",1908,9
"1","09",1908,9
"1","10",1908,9
"1","0A",1908,9
"1","0B",1908,10
"1","0C",1908,14
"1","0D",1908,18
"1","0E",1908,17
"1","0F",1908,9
"1","0G",1908,12
"1","0H",1908,10
"1","0L",1908,27
"1","0Q",1908,15
"1","0R",1908,22
"1","0S",1908,27
"1","0T",1908,30
"1","0U",1908,22
"1","0V",1908,27
"1","0W",1908,14
"1","0X",1908,15
"1","0Y",1908,21
"1","0Z",1908,11
"1","BB",1908,19
"1","CC",1908,19
"1","DD",1908,17
"1","EE",1908,18
"1","FF",1908,18
"1","GG",1908,16
"1","HH",1908,16
"1","II",1908,15
"1","JJ",1908,16
"1","KK",1908,17
"1","MM",1908,17
"1","NN",1908,14
"1","QQ",1908,16
"1","RR",1908,19
"1","SS",1908,19
"1","AA",1908,13
"1","XX",1908,19
"1","YY",1908,19
"1","ZZ",1908,15
"1","TT",1908,12
"1","UU",1908,12
"1","VV",1908,13
"1","WW",1908,11
"1","PP",1908,16
"1","0N",1908,13
"1","05",1909,25
"1","06",1909,20
"1","07",1909,20
"1","08",1909,21
"1","09",1909,20
"1","10",1909,20
"1","0A",1909,20
"1","0B",1909,19
"1","0C",1909,26
"1","0D",1909,24
"1","0E",1909,28
"1","0F",1909,20
"1","0G",1909,20
"1","0H",1909,21
"1","0L",1909,43
"1","0Q",1909,40
"1","0R",1909,22
"1","0S",1909,27
"1","0T",1909,30
"1","0U",1909,22
"1","0V",1909,28
"1","0W",1909,39
"1","0X",1909,40
"1","0Y",1909,37
"1","0Z",1909,37
"1","BB",1909,21
"1","CC",1909,23
"1","DD",1909,18
"1","EE",1909,18
"1","FF",1909,20
"1","GG",1909,16
"1","HH",1909,16
"1","II",1909,15
"1","JJ",1909,16
"1","KK",1909,17
"1","MM",1909,38
"1","NN",1909,38
"1","QQ",1909,16
"1","RR",1909,19
"1","SS",1909,19
"1","AA",1909,19
"1","XX",1909,21
"1","YY",1909,20
"1","ZZ",1909,20
"1","TT",1909,38
"1","UU",1909,39
"1","VV",1909,40
"1","WW",1909,34
"1","PP",1909,16
"1","0N",1909,39
"1","05",1910,18
"1","06",1910,14
"1","07",1910,14
"1","08",1910,14
"1","09",1910,13
"1","10",1910,14
"1","0A",1910,14
"1","0B",1910,14
"1","0C",1910,19
"1","0D",1910,18
"1","0E",1910,21
"1","0F",1910,14
"1","0G",1910,16
"1","0H",1910,15
"1","0L",1910,27
"1","0Q",1910,20
"1","0R",1910,17
"1","0S",1910,24
"1","0T",1910,29
"1","0U",1910,16
"1","0V",1910,25
"1","0W",1910,20
"1","0X",1910,21
"1","0Y",1910,24
"1","0Z",1910,16
"1","BB",1910,15
"1","CC",1910,18
"1","DD",1910,10
"1","EE",1910,9
"1","FF",1910,13
"1","GG",1910,6
"1","HH",1910,6
"1","II",1910,5
"1","JJ",1910,6
"1","KK",1910,7
"1","MM",1910,20
"1","NN",1910,18
"1","QQ",1910,6
"1","RR",1910,9
"1","SS",1910,10
"1","AA",1910,16
"1","XX",1910,20
"1","YY",1910,17
"1","ZZ",1910,18
"1","TT",1910,16
"1","UU",1910,16
"1","VV",1910,17
"1","WW",1910,14
"1","PP",1910,6
"1","0N",1910,17
"1","05",1911,35
"1","06",1911,31
"1","07",1911,31
"1","08",1911,31
"1","09",1911,30
"1","10",1911,30
"1","0A",1911,31
"1","0B",1911,30
"1","0C",1911,38
"1","0D",1911,36
"1","0E",1911,42
"1","0F",1911,31
"1","0G",1911,30
"1","0H",1911,31
"1","0L",1911,52
"1","0Q",1911,46
"1","0R",1911,31
"1","0S",1911,33
"1","0T",1911,38
"1","0U",1911,32
"1","0V",1911,37
"1","0W",1911,45
"1","0X",1911,46
"1","0Y",1911,49
"1","0Z",1911,41
"1","BB",1911,33
"1","CC",1911,36
"1","DD",1911,31
"1","EE",1911,30
"1","FF",1911,32
"1","GG",1911,20
"1","HH",1911,21
"1","II",1911,20
"1","JJ",1911,24
"1","KK",1911,24
"1","MM",1911,45
"1","NN",1911,43
"1","QQ",1911,21
"1","RR",1911,30
"1","SS",1911,31
"1","AA",1911,28
"1","XX",1911,26
"1","YY",1911,26
"1","ZZ",1911,27
"1","TT",1911,41
"1","UU",1911,40
"1","VV",1911,42
"1","WW",1911,36
"1","PP",1911,20
"1","0N",1911,42
"1","05",1912,27
"1","06",1912,21
"1","07",1912,21
"1","08",1912,21
"1","09",1912,20
"1","10",1912,20
"1","0A",1912,21
"1","0B",1912,20
"1","0C",1912,29
"1","0D",1912,26
"1","0E",1912,31
"1","0F",1912,21
"1","0G",1912,22
"1","0H",1912,22
"1","0L",1912,33
"1","0Q",1912,34
"1","0R",1912,18
"1","0S",1912,24
"1","0T",1912,30
"1","0U",1912,19
"1","0V",1912,27
"1","0W",1912,33
"1","0X",1912,35
"1","0Y",1912,35
"1","0Z",1912,29
"1","BB",1912,23
"1","CC",1912,25
"1","DD",1912,17
"1","EE",1912,13
"1","FF",1912,20
"1","GG",1912,6
"1","HH",1912,6
"1","II",1912,6
"1","JJ",1912,7
"1","KK",1912,7
"1","MM",1912,30
"1","NN",1912,30
"1","QQ",1912,6
"1","RR",1912,9
"1","SS",1912,11
"1","AA",1912,21
"1","XX",1912,22
"1","YY",1912,18
"1","ZZ",1912,21
"1","TT",1912,28
"1","UU",1912,28
"1","VV",1912,29
"1","WW",1912,25
"1","PP",1912,6
"1","0N",1912,29
"1","05",1913,44
"1","06",1913,33
"1","07",1913,34
"1","08",1913,34
"1","09",1913,33
"1","10",1913,33
"1","0A",1913,34
"1","0B",1913,32
"1","0C",1913,49
"1","0D",1913,43
"1","0E",1913,52
"1","0F",1913,34
"1","0G",1913,32
"1","0H",1913,35
"1","0L",1913,62
"1","0Q",1913,58
"1","0R",1913,24
"1","0S",1913,31
"1","0T",1913,43
"1","0U",1913,26
"1","0V",1913,42
"1","0W",1913,58
"1","0X",1913,60
"1","0Y",1913,64
"1","0Z",1913,49
"1","BB",1913,35
"1","CC",1913,41
"1","DD",1913,27
"1","EE",1913,22
"1","FF",1913,31
"1","GG",1913,11
"1","HH",1913,11
"1","II",1913,10
"1","JJ",1913,13
"1","KK",1913,11
"1","MM",1913,54
"1","NN",1913,51
"1","QQ",1913,11
"1","RR",1913,14
"1","SS",1913,17
"1","AA",1913,30
"1","XX",1913,26
"1","YY",1913,21
"1","ZZ",1913,28
"1","TT",1913,48
"1","UU",1913,48
"1","VV",1913,50
"1","WW",1913,41
"1","PP",1913,11
"1","0N",1913,50
"1","05",1914,26
"1","06",1914,22
"1","07",1914,22
"1","08",1914,22
"1","09",1914,22
"1","10",1914,21
"1","0A",1914,22
"1","0B",1914,21
"1","0C",1914,28
"1","0D",1914,27
"1","0E",1914,31
"1","0F",1914,22
"1","0G",1914,22
"1","0H",1914,23
"1","0L",1914,43
"1","0Q",1914,37
"1","0R",1914,22
"1","0S",1914,25
"1","0T",1914,29
"1","0U",1914,23
"1","0V",1914,28
"1","0W",1914,35
"1","0X",1914,36
"1","0Y",1914,36
"1","0Z",1914,38
"1","BB",1914,25
"1","CC",1914,26
"1","DD",1914,22
"1","EE",1914,20
"1","FF",1914,24
"1","GG",1914,14
"1","HH",1914,15
"1","II",1914,12
"1","JJ",1914,14
"1","KK",1914,17
"1","MM",1914,37
"1","NN",1914,37
"1","QQ",1914,13
"1","RR",1914,20
"1","SS",1914,21
"1","AA",1914,21
"1","XX",1914,22
"1","YY",1914,19
"1","ZZ",1914,21
"1","TT",1914,39
"1","UU",1914,40
"1","VV",1914,41
"1","WW",1914,36
"1","PP",1914,14
"1","0N",1914,40
"1","05",1915,21
"1","06",1915,16
"1","07",1915,16
"1","08",1915,16
"1","09",1915,16
"1","10",1915,16
"1","0A",1915,17
"1","0B",1915,16
"1","0C",1915,23
"1","0D",1915,22
"1","0E",1915,25
"1","0F",1915,17
"1","0G",1915,18
"1","0H",1915,17
"1","0L",1915,26
"1","0Q",1915,26
"1","0R",1915,17
"1","0S",1915,21
"1","0T",1915,28
"1","0U",1915,18
"1","0V",1915,25
"1","0W",1915,25
"1","0X",1915,27
"1","0Y",1915,28
"1","0Z",1915,21
"1","BB",1915,21
"1","CC",1915,22
"1","DD",1915,16
"1","EE",1915,15
"1","FF",1915,19
"1","GG",1915,12
"1","HH",1915,12
"1","II",1915,14
"1","JJ",1915,14
"1","KK",1915,10
"1","MM",1915,23
"1","NN",1915,22
"1","QQ",1915,15
"1","RR",1915,10
"1","SS",1915,11
"1","AA",1915,18
"1","XX",1915,21
"1","YY",1915,21
"1","ZZ",1915,19
"1","TT",1915,21
"1","UU",1915,22
"1","VV",1915,22
"1","WW",1915,19
"1","PP",1915,12
"1","0N",1915,23
"1","05",1916,28
"1","06",1916,24
"1","07",1916,24
"1","08",1916,25
"1","09",1916,24
"1","10",1916,23
"1","0A",1916,24
"1","0B",1916,24
"1","0C",1916,29
"1","0D",1916,29
"1","0E",1916,32
"1","0F",1916,24
"1","0G",1916,25
"1","0H",1916,25
"1","0L",1916,30
"1","0Q",1916,32
"1","0R",1916,27
"1","0S",1916,28
"1","0T",1916,30
"1","0U",1916,28
"1","0V",1916,29
"1","0W",1916,32
"1","0X",1916,33
"1","0Y",1916,33
"1","0Z",1916,32
"1","BB",1916,28
"1","CC",1916,29
"1","DD",1916,27
"1","EE",1916,27
"1","FF",1916,28
"1","GG",1916,18
"1","HH",1916,19
"1","II",1916,20
"1","JJ",1916,23
"1","KK",1916,22
"1","MM",1916,30
"1","NN",1916,30
"1","QQ",1916,21
"1","RR",1916,27
"1","SS",1916,28
"1","AA",1916,24
"1","XX",1916,24
"1","YY",1916,25
"1","ZZ",1916,24
"1","TT",1916,31
"1","UU",1916,31
"1","VV",1916,32
"1","WW",1916,27
"1","PP",1916,18
"1","0N",1916,32
"1","05",1917,40
"1","06",1917,35
"1","07",1917,35
"1","08",1917,35
"1","09",1917,34
"1","10",1917,33
"1","0A",1917,35
"1","0B",1917,34
"1","0C",1917,42
"1","0D",1917,38
"1","0E",1917,45
"1","0F",1917,34
"1","0G",1917,33
"1","0H",1917,35
"1","0L",1917,58
"1","0Q",1917,46
"1","0R",1917,36
"1","0S",1917,41
"1","0T",1917,53
"1","0U",1917,36
"1","0V",1917,49
"1","0W",1917,48
"1","0X",1917,50
"1","0Y",1917,54
"1","0Z",1917,33
"1","BB",1917,34
"1","CC",1917,38
"1","DD",1917,28
"1","EE",1917,24
"1","FF",1917,31
"1","GG",1917,14
"1","HH",1917,16
"1","II",1917,13
"1","JJ",1917,17
"1","KK",1917,21
"1","MM",1917,42
"1","NN",1917,36
"1","QQ",1917,14
"1","RR",1917,27
"1","SS",1917,30
"1","AA",1917,31
"1","XX",1917,26
"1","YY",1917,22
"1","ZZ",1917,29
"1","TT",1917,30
"1","UU",1917,29
"1","VV",1917,30
"1","WW",1917,24
"1","PP",1917,14
"1","0N",1917,32
"1","05",1918,30
"1","06",1918,27
"1","07",1918,27
"1","08",1918,27
"1","09",1918,26
"1","10",1918,26
"1","0A",1918,27
"1","0B",1918,26
"1","0C",1918,31
"1","0D",1918,32
"1","0E",1918,35
"1","0F",1918,26
"1","0G",1918,26
"1","0H",1918,27
"1","0L",1918,46
"1","0Q",1918,35
"1","0R",1918,34
"1","0S",1918,40
"1","0T",1918,45
"1","0U",1918,34
"1","0V",1918,39
"1","0W",1918,34
"1","0X",1918,36
"1","0Y",1918,38
"1","0Z",1918,28
"1","BB",1918,31
"1","CC",1918,32
"1","DD",1918,31
"1","EE",1918,33
"1","FF",1918,31
"1","GG",1918,31
"1","HH",1918,30
"1","II",1918,32
"1","JJ",1918,33
"1","KK",1918,31
"1","MM",1918,34
"1","NN",1918,31
"1","QQ",1918,34
"1","RR",1918,33
"1","SS",1918,32
"1","AA",1918,25
"1","XX",1918,26
"1","YY",1918,30
"1","ZZ",1918,25
"1","TT",1918,28
"1","UU",1918,27
"1","VV",1918,28
"1","WW",1918,24
"1","PP",1918,31
"1","0N",1918,31
"1","05",1919,18
"1","06",1919,16
"1","07",1919,16
"1","08",1919,16
"1","09",1919,15
"1","10",1919,16
"1","0A",1919,16
"1","0B",1919,16
"1","0C",1919,19
"1","0D",1919,19
"1","0E",1919,21
"1","0F",1919,16
"1","0G",1919,18
"1","0H",1919,17
"1","0L",1919,28
"1","0Q",1919,23
"1","0R",1919,12
"1","0S",1919,14
"1","0T",1919,20
"1","0U",1919,14
"1","0V",1919,19
"1","0W",1919,21
"1","0X",1919,22
"1","0Y",1919,24
"1","0Z",1919,23
"1","BB",1919,19
"1","CC",1919,19
"1","DD",1919,15
"1","EE",1919,14
"1","FF",1919,17
"1","GG",1919,17
"1","HH",1919,16
"1","II",1919,17
"1","JJ",1919,16
"1","KK",1919,12
"1","MM",1919,24
"1","NN",1919,24
"1","QQ",1919,19
"1","RR",1919,11
"1","SS",1919,11
"1","AA",1919,18
"1","XX",1919,21
"1","YY",1919,22
"1","ZZ",1919,19
"1","TT",1919,23
"1","UU",1919,21
"1","VV",1919,22
"1","WW",1919,18
"1","PP",1919,17
"1","0N",1919,25
"1","05",1920,48
"1","06",1920,40
"1","07",1920,40
"1","08",1920,40
"1","09",1920,39
"1","10",1920,38
"1","0A",1920,40
"1","0B",1920,38
"1","0C",1920,54
"1","0D",1920,45
"1","0E",1920,57
"1","0F",1920,40
"1","0G",1920,37
"1","0H",1920,40
"1","0L",1920,68
"1","0Q",1920,67
"1","0R",1920,48
"1","0S",1920,59
"1","0T",1920,73
"1","0U",1920,49
"1","0V",1920,66
"1","0W",1920,67
"1","0X",1920,70
"1","0Y",1920,76
"1","0Z",1920,57
"1","BB",1920,40
"1","CC",1920,47
"1","DD",1920,32
"1","EE",1920,26
"1","FF",1920,36
"1","GG",1920,8
"1","HH",1920,11
"1","II",1920,7
"1","JJ",1920,15
"1","KK",1920,22
"1","MM",1920,64
"1","NN",1920,58
"1","QQ",1920,7
"1","RR",1920,33
"1","SS",1920,37
"1","AA",1920,34
"1","XX",1920,27
"1","YY",1920,21
"1","ZZ",1920,31
"1","TT",1920,56
"1","UU",1920,58
"1","VV",1920,59
"1","WW",1920,51
"1","PP",1920,7
"1","0N",1920,58
"1","05",1921,21
"1","06",1921,18
"1","07",1921,18
"1","08",1921,19
"1","09",1921,18
"1","10",1921,18
"1","0A",1921,18
"1","0B",1921,18
"1","0C",1921,24
"1","0D",1921,24
"1","0E",1921,27
"1","0F",1921,18
"1","0G",1921,19
"1","0H",1921,19
"1","0L",1921,39
"1","0Q",1921,28
"1","0R",1921,27
"1","0S",1921,31
"1","0T",1921,35
"1","0U",1921,27
"1","0V",1921,31
"1","0W",1921,27
"1","0X",1921,28
"1","0Y",1921,33
"1","0Z",1921,29
"1","BB",1921,25
"1","CC",1921,25
"1","DD",1921,22
"1","EE",1921,21
"1","FF",1921,24
"1","GG",1921,15
"1","HH",1921,16
"1","II",1921,12
"1","JJ",1921,16
"1","KK",1921,19
"1","MM",1921,30
"1","NN",1921,29
"1","QQ",1921,13
"1","RR",1921,24
"1","SS",1921,25
"1","AA",1921,19
"1","XX",1921,21
"1","YY",1921,19
"1","ZZ",1921,19
"1","TT",1921,32
"1","UU",1921,34
"1","VV",1921,34
"1","WW",1921,31
"1","PP",1921,16
"1","0N",1921,32
"1","05",1922,27
"1","06",1922,23
"1","07",1922,23
"1","08",1922,23
"1","09",1922,22
"1","10",1922,22
"1","0A",1922,23
"1","0B",1922,22
"1","0C",1922,29
"1","0D",1922,25
"1","0E",1922,31
"1","0F",1922,23
"1","0G",1922,23
"1","0H",1922,23
"1","0L",1922,39
"1","0Q",1922,32
"1","0R",1922,24
"1","0S",1922,28
"1","0T",1922,35
"1","0U",1922,24
"1","0V",1922,33
"1","0W",1922,33
"1","0X",1922,34
"1","0Y",1922,38
"1","0Z",1922,24
"1","BB",1922,24
"1","CC",1922,26
"1","DD",1922,18
"1","EE",1922,15
"1","FF",1922,21
"1","GG",1922,11
"1","HH",1922,12
"1","II",1922,9
"1","JJ",1922,10
"1","KK",1922,14
"1","MM",1922,30
"1","NN",1922,26
"1","QQ",1922,9
"1","RR",1922,17
"1","SS",1922,19
"1","AA",1922,22
"1","XX",1922,21
"1","YY",1922,17
"1","ZZ",1922,22
"1","TT",1922,22
"1","UU",1922,21
"1","VV",1922,22
"1","WW",1922,18
"1","PP",1922,11
"1","0N",1922,24
"1","05",1923,19
"1","06",1923,17
"1","07",1923,17
"1","08",1923,18
"1","09",1923,16
"1","10",1923,17
"1","0A",1923,17
"1","0B",1923,17
"1","0C",1923,22
"1","0D",1923,21
"1","0E",1923,25
"1","0F",1923,17
"1","0G",1923,19
"1","0H",1923,17
"1","0L",1923,30
"1","0Q",1923,26
"1","0R",1923,27
"1","0S",1923,31
"1","0T",1923,29
"1","0U",1923,26
"1","0V",1923,27
"1","0W",1923,26
"1","0X",1923,27
"1","0Y",1923,29
"1","0Z",1923,16
"1","BB",1923,22
"1","CC",1923,22
"1","DD",1923,20
"1","EE",1923,20
"1","FF",1923,21
"1","GG",1923,17
"1","HH",1923,18
"1","II",1923,17
"1","JJ",1923,20
"1","KK",1923,21
"1","MM",1923,24
"1","NN",1923,20
"1","QQ",1923,19
"1","RR",1923,24
"1","SS",1923,25
"1","AA",1923,19
"1","XX",1923,21
"1","YY",1923,21
"1","ZZ",1923,19
"1","TT",1923,17
"1","UU",1923,18
"1","VV",1923,18
"1","WW",1923,16
"1","PP",1923,17
"1","0N",1923,17
"1","05",1924,31
"1","06",1924,25
"1","07",1924,25
"1","08",1924,25
"1","09",1924,24
"1","10",1924,24
"1","0A",1924,25
"1","0B",1924,24
"1","0C",1924,34
"1","0D",1924,32
"1","0E",1924,37
"1","0F",1924,25
"1","0G",1924,25
"1","0H",1924,26
"1","0L",1924,39
"1","0Q",1924,39
"1","0R",1924,35
"1","0S",1924,39
"1","0T",1924,40
"1","0U",1924,35
"1","0V",1924,38
"1","0W",1924,38
"1","0X",1924,40
"1","0Y",1924,42
"1","0Z",1924,27
"1","BB",1924,31
"1","CC",1924,33
"1","DD",1924,30
"1","EE",1924,30
"1","FF",1924,30
"1","GG",1924,31
"1","HH",1924,31
"1","II",1924,26
"1","JJ",1924,27
"1","KK",1924,33
"1","MM",1924,35
"1","NN",1924,31
"1","QQ",1924,28
"1","RR",1924,35
"1","SS",1924,34
"1","AA",1924,24
"1","XX",1924,24
"1","YY",1924,22
"1","ZZ",1924,23
"1","TT",1924,26
"1","UU",1924,27
"1","VV",1924,27
"1","WW",1924,24
"1","PP",1924,31
"1","0N",1924,26
"1","05",1925,22
"1","06",1925,19
"1","07",1925,19
"1","08",1925,19
"1","09",1925,18
"1","10",1925,18
"1","0A",1925,19
"1","0B",1925,19
"1","0C",1925,26
"1","0D",1925,28
"1","0E",1925,30
"1","0F",1925,19
"1","0G",1925,20
"1","0H",1925,19
"1","0L",1925,35
"1","0Q",1925,25
"1","0R",1925,37
"1","0S",1925,39
"1","0T",1925,34
"1","0U",1925,37
"1","0V",1925,33
"1","0W",1925,25
"1","0X",1925,26
"1","0Y",1925,29
"1","0Z",1925,22
"1","BB",1925,30
"1","CC",1925,29
"1","DD",1925,34
"1","EE",1925,36
"1","FF",1925,32
"1","GG",1925,30
"1","HH",1925,31
"1","II",1925,27
"1","JJ",1925,32
"1","KK",1925,35
"1","MM",1925,26
"1","NN",1925,24
"1","QQ",1925,29
"1","RR",1925,41
"1","SS",1925,39
"1","AA",1925,20
"1","XX",1925,24
"1","YY",1925,25
"1","ZZ",1925,21
"1","TT",1925,24
"1","UU",1925,23
"1","VV",1925,24
"1","WW",1925,21
"1","PP",1925,30
"1","0N",1925,25
"1","05",1926,25
"1","06",1926,19
"1","07",1926,20
"1","08",1926,20
"1","09",1926,19
"1","10",1926,19
"1","0A",1926,20
"1","0B",1926,19
"1","0C",1926,25
"1","0D",1926,24
"1","0E",1926,27
"1","0F",1926,20
"1","0G",1926,20
"1","0H",1926,20
"1","0L",1926,28
"1","0Q",1926,29
"1","0R",1926,17
"1","0S",1926,18
"1","0T",1926,22
"1","0U",1926,18
"1","0V",1926,21
